MGRS: 18T
NLCD: 

Randomly drop one datapoint during the year
            method     rmse      mae      mbe        m        b       r2        n
      climo_median   0.1296   0.0909  -0.0004   0.8400   0.1148   0.8080     4422
             conor   0.1234   0.0932   0.0011   0.8314   0.1224   0.8249     4422
     interp_clim_a   0.1578   0.1223   0.0495   0.6977   0.2672   0.7449     4422
     interp_clim_b   0.1673   0.1283   0.0568   0.6820   0.2858   0.7169     4422
     interp_clim_c   0.1576   0.1211   0.0486   0.7092   0.2579   0.7430     4422
       whit_a_0p50   0.2337   0.1793   0.0785   0.6711   0.3153   0.5008     4422
       whit_a_0p20   0.2355   0.1803   0.0661   0.6958   0.2851   0.4943     4422
       whit_a_0p10   0.2397   0.1834   0.0595   0.7047   0.2721   0.4825     4422
       whit_a_0p05   0.2440   0.1867   0.0548   0.7089   0.2645   0.4705     4422
       whit_a_0p01   0.2503   0.1916   0.0499   0.7122   0.2571   0.4544     4422

